platform,source_id,comment_id,author,text,preprocessed,rule_hits,semantic_score,perspective_sexual,final_score,classification,likeCount,publishedAt
youtube,FpsCzFGL1LE,UgwTLBOVxfFkL_kJeQp4AaABAg,@FelixFerraz-p2x1s,Isso e só começo do que realmente tá rolando com muitas crianças..,começo de o realmente tá rolar criança,,0.7547013759613037,,0.6,atencao,1,2025-08-15T03:16:15Z
youtube,FpsCzFGL1LE,UgwH0QRR2ofj8N-W5a14AaABAg,@mararachelconsultora7431,👏👏👏,👏 👏 👏,,0.6377393007278442,,0.6,atencao,0,2025-08-15T03:16:08Z
youtube,FpsCzFGL1LE,UgwXxCR_dLsWxC2cQIx4AaABAg,@thayydionisio317,"Misericórdia, dói na alma! Tenho uma menina de 10 anos,linda de viver e não é pq é minha filha não,ela é linda,cabelo lindo,sorriso lindo e agora nessa fase está c corpo desenvolvendo até de mais p meu gosto. Me assusta Ela tem rede social? NÃO  Ela tem celular? NÃO  EU N TENHO FACE/INSTA NADA PARTICULAR  FOTOS DELA EM ALGUNS MOMENTOS DE PASSEIOS E BRINCADEIRAS EU DEIXO NO MEU E MAIL. P RECORDAÇÃO DE FAMILIA. MAS NENHUMA FOTO DELA DE BIQUINI,NEM ROUPAS CURTAS E MUITO MENOS SEM ROUPA. Ela adora skate,adora tênis e camisetas largas,pode até ser que mude de estilo depois de maiorzinha,mas agora ela n usa nem eu coloco nada de sensual ou que deixe o corpinho dela a mostra.  Sobre a condição financeira sou mae e pai sempre fui só,vivo de artesanatos,pago aluguel e agora 00:06 tô aqui produzindo e vendo esse vídeo. Eu fico até amanhecer quando presciso finalizar encomenda,pego encomendas q nao aguento fazer rapido,me mato mas faço,p dar o minimo p meus filhos. Ai depois de deixar ela na escola eu durmo um pouco,viro noites,vendo doces no farol se for necessário,faço faxina,cuido de crianças. Mas jamais vou permitir ela se expor por monetizaçao muito menos eu fazer isso por dinheiro algum. Meus filhos são meus bens maiores,e que Deus me perdoe mas eu m@tava uma mãe dessas se podesse,isso não se faz c um filho não! Estou muito triste por tantas crianças passando tantas maldades no mundo essa,e todas as outras! Cansada sabe😢",misericórdio dói em o alma ter menina 10 ano linda viver pq filha lindo cabelo lir sorriso lir agora em esse fase c corpo desenvolver p gosto assustar ter rede social ter celular n ter face insta nada particular foto de ela algum momento passeio brincadeira deixo em o Mail p recordação familia nenhum foto de ela biquini roupa curto menos roupa adorar skate adorar tênis camiseta largo poder mude estilo maiorzinha agora n usar coloco nada sensual deixar corpinho de ela mostrar sobre condição financeiro mae pai sempre vivo artesanato pagar aluguel agora 00:06 tô aqui produzir ver vídeo fico amanhecer presciso finalizar encomenda pego encomenr q nao aguento fazer rapir mato fazer p dar minimo p filho ai deixar em o escola durmar pouco viro noite ver doce em o farol necessário fazer faxino cuido criança jamais ir permitir expor monetizaçao menos fazer dinheiro algum filho bem grande deus perdoe m mãe de esse poder fazer c filho tristir tanto criança passar tanto maldade em o mundo todo outro cansada saber 😢,REGEX:age_10_17,0.4400130808353424,,0.6,atencao,2,2025-08-15T03:12:32Z
youtube,FpsCzFGL1LE,UgyiU3sN1H9T4yQZfO14AaABAg,@miriamsantos7448,👏👏👏👏,👏 👏 👏 👏,,0.6179318428039551,,0.6,atencao,1,2025-08-15T03:11:31Z
youtube,FpsCzFGL1LE,UgzcMXsGd6uEuAhwcGh4AaABAg,@TecSid-vs1ez,"Esse vídeo deveria ser usado pelo poder público para criar uma política efetiva, verdadeira de combate a pedofilia e punição para os adultos pais e familiares que produzem esse tipo de conteúdo. Por outro lado o poder público deveria ser punido por omissão!",vídeo dever usar por o poder público criar política efetivo verdadeiro combate pedofilia punição adulto pai familiar produzir tipo conteúdo outro lado poder público dever punir omissão,KW:pedofilia,0.18291376531124115,,0.6,atencao,0,2025-08-15T03:10:15Z
youtube,FpsCzFGL1LE,UgzGJGtkJtKD4ZD47JF4AaABAg,@oceudaobra,👏👏👏👏👏,👏 👏 👏 👏 👏,,0.6039851307868958,,0.6,atencao,0,2025-08-15T03:06:09Z
youtube,FpsCzFGL1LE,UgzTjjegAksG4TwZzd54AaABAg,@flaviooliveira4712,➡️Realmente é a geração do fim dos tempos!,➡ ️realmente geração de o fim de o tempo,,0.6358234882354736,,0.6,atencao,0,2025-08-15T03:05:06Z
youtube,FpsCzFGL1LE,UgyUgzNt2ngbYGEpJrt4AaABAg,@dukelucass,"Cara, você é o super Felca deviam criar uma HQ sobre você, um mangá algo do tipo",cara super felcar dever criar hq sobre mangá algo de o tipo,,0.6152290105819702,,0.6,atencao,0,2025-08-15T03:04:41Z
youtube,FpsCzFGL1LE,UgzGDCSn97sBJssKu9V4AaABAg,@MonicaSantos-u1t,Nossa falou tudo felca,falar tudo felcar,,0.6335033178329468,,0.6,atencao,0,2025-08-15T03:00:09Z
youtube,FpsCzFGL1LE,UgzpghFs_AYJZSWNyYx4AaABAg,@michellepozzermartini973,"Quando eu conheci meu ex marido, a filha dele tinha 8 anos. Um dia , quando ela já tinha 10 anos,  fomos jogar um jogo no meu computador, ela fez login com gmail dela, o e-mail e senha eram fáceis de memorizar e um belo dia resolvi conectar no meu note e fazer uma busca pelo histórico,  eu encontrei pesquisas pornográficas desde os 7 anos, tinha até zoofilia na busca. Quando contei pro pai, pasmem, ele me disse assim "" tu tem que cuidar da tua vida e não dá  dela""  o tempo passou e aos 13 começou a querer beber e diferente da juventude que bebe escondido, mas não chega bêbado em casa, que toma uns gole, lá não, ele mesmo comprava vodka pra ela e acobertava ela da mãe.  E tem mais, quando conheci ele, ela morava com ele, ele andava pela casa de cueca e dormia com ela de cueca, lembro até hoje que ele tinha uma cueca que o elástico estava gasto, quando ele sentava o saco ficava exposto, eu mesma joguei fora a tal peça.   E a história piora, porque ele mesmo me conta que quando tinha 20 e poucos anos, acho que uns 26, namorava uma guria de 12 anos, quando questionei se ele iria gostar se a filha dele namorasse um cara bem mais velho, ele só disse que quem tinha que decidir era ela, que ela tinha a vida dela.  Quando me separei dele, ele foi atrás de uma guria de 15 e ele já tinha 50 anos.    Obs. É bem provável que alguém da família dele veja esse meu comentário, mas não estou ligando, é errado e não passo pano.  TEM TODO O MEU APOIO, FELCA!!!!",conheci ex marido filha de ele ter 8 ano dia ter 10 ano jogar jogo em o computador fazer login gmail de ela e-mail senha fácel memorizar belo dia resolver conectar em o note fazer busca por o histórico encontrar pesquisa pornográfico desde 7 ano ter zoofilia em o busca contar pro pai pasmar dizer assim ter cuidar de o vida dar de ela tempo passar a o 13 começar querer beber diferente de o juventude beber esconder chegar bêbado casa tomar gole lá comprar vodka pra acobertar de o mãe ter conheci morar andar por o casa cueca dormia cueca lembro hoje ter cueca elástico gasto sentar saco ficar exposto mesmar joguei tal peça história piora porque contar ter 20 pouco ano achar 26 namorar guria 12 ano questionar ir gostar filha de ele namorar cara bem velho dizer ter decidir ter vida de ela separei de ele ir atrás guria 15 ter 50 ano obs bem provável alguém de o família de ele ver comentário ligar errar passo pano ter todo apoio felcar,REGEX:age_10_17,0.33424267172813416,,0.6,atencao,2,2025-08-15T02:59:57Z
youtube,FpsCzFGL1LE,UgyC8tpq_PvvXtQbVGV4AaABAg,@ArthurFistarol-k5m,Tudo que você falou é verdade,tudo falar verdade,,0.5885739326477051,,0.6,atencao,0,2025-08-15T02:58:00Z
youtube,FpsCzFGL1LE,Ugws94luS3bS4ZN3mw94AaABAg,@djgibap,O felca lembra a pipoquinha que fazia chow de putaria pra criança e agora ta pagando de santa,felcar lembrar pipoquinha fazer chow putar pra criança agora ta pagar Santa,,0.6300910711288452,,0.6,atencao,1,2025-08-15T02:57:39Z
youtube,FpsCzFGL1LE,Ugw9OGuTnuXC9jsnN8t4AaABAg,@claudiareis783,"Parabéns meu filho de 14 anos que mandou pra mim, triste mas pessoas assim não pode ser chamada de mãe e pai,pois eles deveriam proteger o filho",parabéns filho 14 ano mandar pra tristar pessoa assim poder chamar mãe pai pois dever proteger filho,REGEX:age_10_17,0.5357438325881958,,0.6,atencao,4,2025-08-15T02:53:32Z
youtube,FpsCzFGL1LE,Ugz_ajF4CmEX9cvNpON4AaABAg,@JoaoPaulo-bn7nb,👏🏽👏🏽👏🏽,👏 🏽 👏 🏽 👏 🏽,,0.5787278413772583,,0.6,atencao,1,2025-08-15T02:49:57Z
